id,sex,year,season,habitat,tank ,MPD,DPM,MF,MCP,kde50,kde95,kde99,directionality
Sheila,Female,2015,Mating,Resource Hotspot,0.633,29.928,54.839,0.589,1.863,0.04,3.23,3.859,0.729
Jovanna,Female,2016,Non-mating,Resource Hotspot,0.571,32.908,72.756,0.752,3.009,0.216,6.54,8.804,0.899
Laura,Female,2016,Non-mating,Resource Hotspot,0.833,50.852,81.417,1,1.111,0.48,3.187,5.475,0.935
Sheila,Female,2016,Non-mating,Resource Hotspot,0.776,26.367,67.371,0.555,4.663,0.0004,4.104,6.963,0.898
Agatha ,Female,2016,Mating ,Resource Hotspot,0.643,43.206,,0.875,4.239,13.497,53.98,72.627,0.928
Jovanna,Female,2016,Mating ,Resource Hotspot,0.633,26.914,69.257,0.871,17.935,0.216,6.538,8.804,0.805
Laura,Female,2016,Mating ,Resource Hotspot,0.667,12.399,60.75,0.69,2.592,,0.592,3.962,0.924
Sheila,Female,2016,Mating ,Resource Hotspot,0.7,17.169,47.917,0.663,2.553,,4.289,6.803,0.902
Agatha,Female,2017,Non-mating,Resource Hotspot,0.353,6.19,59.75,0.393,0.807,,0.402,1.583,0.893
Laura,Female,2017,Mating ,Resource Hotspot,0.48,25.193,26.734,0.88,5.021,0.803,12.698,18.084,0.874
Wendy,Female,2017,Mating ,Resource Hotspot,0.2,18.176,71.915,0.792,2.085,0.135,5.599,8.667,0.657
Sheila,Female,2017,Mating ,Resource Hotspot,0.9,16.914,76.873,0.843,2.531,,2.874,5.327,0.912
Sheila,Female,2018,Non-mating,Resource Hotspot,0.548,11.736,64.9,0.65,1.699,0.006,2.378,5.309,0.921
Wendy,Female,2018,Non-mating,Resource Hotspot,0.579,5.333,44,0.381,0.186,,,,0.926
Giacomo,Male,2015,Mating,Resource Hotspot,0.529,68.102,79.429,0.837,7.011,0.043,7.078,12.052,0.813
Gregory,Male,2016,Mating ,Resource Hotspot,0.375,89.003,,0.875,24.214,8.567,52.504,80.714,0.856
Mario,Male,2016,Mating ,Resource Hotspot,0.321,68.244,126.125,0.925,14.031,3.602,27.75,39.848,0.926
Ziggy,Male,2016,Mating ,Resource Hotspot,0.438,45.906,169.866,0.929,7.467,0.424,14.038,22.462,0.907
Gregory,Male,2017,Non-mating,Resource Hotspot,0.24,22.26,132.533,0.792,4.497,0.938,11.917,16.769,0.972
Mario,Male,2017,Non-mating,Resource Hotspot,0.429,22.917,99.738,0.741,7.078,0.738,15.951,27.408,0.689
Ziggy,Male,2017,Non-mating,Resource Hotspot,0.407,17.575,121.55,0.597,2.739,0.136,7.314,12.194,0.835
Ziggy,Male,2017,Mating ,Resource Hotspot,0.36,33.857,130.202,0.85,14.42,3.716,23.047,39.672,0.597
Gipsy,Male,2017,Mating ,Resource Hotspot,0.88,24.445,91.113,0.88,7.899,0.363,23.37,36.787,0.963
Jinx,Male,2017,Mating ,Resource Hotspot,0.556,29.17,141.138,0.757,9.663,3.383,22.829,35.452,0.965
Otto,Male,2018,Non-mating,Resource Hotspot,0.5,30.218,148.275,0.795,7.222,0.021,13.283,20.263,0.931
Annabelle,Female,2016,Non-mating,Native,0,14.622,33,0.636,0.226,,,,0.922
Bindi,Female,2016,Non-mating,Native,0,48.753,100.725,0.703,15.166,0.825,13.892,23.441,0.903
Danielle,Female,2016,Non-mating,Native,0,29.075,79.143,0.583,4.931,0.315,6.939,11.565,0.608
Gretchin,Female,2016,Non-mating,Native,0,23.056,112.15,0.727,2.658,0.183,8.046,11.867,0.903
Xiao,Female,2016,Non-mating,Native,0,57.446,111.756,0.85,3.265,0.11,6.199,9.798,0.989
Annabelle,Female,2016,Mating ,Native,0,16.124,85.622,0.604,3.009,0.276,7.071,10.766,0.899
Bindi,Female,2016,Mating ,Native,0,40.951,137.222,0.661,6.507,0.825,13.892,23.441,0.883
Danielle,Female,2016,Mating ,Native,0,29.07,102.375,0.675,5.604,1.364,15.992,20.386,0.876
Gretchin,Female,2016,Mating ,Native,0,25.253,104.85,0.577,3.89,,,,0.931
Nyx,Female,2016,Mating ,Native,0.036,27.727,,0.641,10.614,0.83,17.363,27.608,0.859
